lambda;Base_V_T;Vetro_T;Base_V_R;Vetro_R;Base_Si;Si_R
400;13.6;12.4;13.6;1.3;13.6;6
410;15.7;14.5;15.7;1.5;15.7;7.5
420;17.6;16;18.8;1.8;18.5;8.1
430;20.7;19.1;22.8;2.2;21.4;9.4
440;24;21.7;24.7;2.4;24.6;11.3
450;27.3;24.8;28.6;2.8;28.4;12.3
460;30.9;27.9;33.1;3.3;32;14.3
470;34.6;31.4;37.1;3.7;35.7;15.4
480;38.3;34.8;42.5;4.2;40;17.3
490;42.3;38.8;46.7;4.5;44.5;19
500;46.2;42.1;51.8;5;48;20.6
510;50.2;45.5;59.9;5.6;52.5;22.3
520;54.4;49.8;67;6.3;56.7;24.3
530;58.2;52.9;75.4;7.1;60.6;25.9
540;61.6;56.1;82.8;7.8;64;27.6
550;64.8;59.3;92;8.5;67.7;28.9
560;67.7;61.8;100.4;9.4;71;29.6
570;70.5;64.3;111.3;10.7;74.1;31.2
580;72.8;66.7;121.2;11.8;76.8;32.3
590;75.3;68.8;132.1;12.6;79.4;33.2
600;77.4;70.5;142;13.2;81.9;33.9
610;80.1;72.4;150.1;13.4;84.2;34.7
620;81.7;73.8;158.9;13.9;85.9;35.3
630;83.4;75.4;165.5;14.3;87.6;35.8
640;84.5;76.5;171.8;14.8;89;36
650;85.5;78;177.3;15.1;90.2;36.2
660;86.6;78.4;183.7;15.7;90.7;36.4
670;86.9;79.5;188.9;16.3;91.1;36.3
680;87.1;79.7;195.2;16.6;91.4;36.2
690;86.9;79.9;198.5;16.7;91.3;36.1
700;86.8;78.9;202.2;16.9;91.1;35.8
710;86.6;78.5;204.7;17;90.7;35.5
720;86.5;78.2;207.1;17.2;90.2;35.2
730;86.4;77.6;210.6;17.3;90;35
740;85.8;76.8;209.8;17.3;89.5;34.7
750;85.7;76.3;211.4;17.2;88.7;34.2
760;84.6;75.6;212.4;17.3;87.6;33.7
770;83.1;74.6;212;17.1;86.1;33.1
780;81.3;72.7;212;17.1;83.7;32.3
790;79;70.8;210.2;17;81.8;31.4
800;76.1;69.5;207.6;16.9;79.6;30.5
810;73.8;67;203.9;16.7;77.3;29.5
820;71.6;65;199.6;16.4;74.8;28.5
830;69.2;62.3;194;16;72;27.5
840;66.9;59.6;189.6;15.5;68.9;26.4
850;63.7;57;182.8;14.8;65.5;25.1
